cím;szerzõk;kiadás ;kiadás dátuma;témák;isbn;Kiadó
VUK;Fekete István;1.;1965;regény,állat, ifjúság;9789634867760;Móra Könyvkiadó
Harry Potter és a Titkok Kamrája;Janne Kathleen Rowling;1.;1998;Fantasy;9789636141479;Anonimus könyvek
Egy ropi naplója-A nagy kiruccanás;Jeff Kinney;9.;2014;Fikciós napló;9789633993507;Könyvmolyképzõ kiadó
Geronimo Stilton-Az eltûnt kincs rejtélye;Geronimo Stilton Könyvek;8.;2017;Fikciós napló;9789633693629;Alexandra kiadó
Percy Jackson-A szörnyek tengere;Rick Riordan;3.;2006;Görög Mitológia, Fantasy irodalom;9789633998489;Könyvképzõ Kiadó KFT.
Akkor szakítsunk;Leiner Laura;1.;2014;ifjusági irodalom;L&L kiadó;9786155653025
Alkonyat;Stephenie Meyer;1.;2005;fantasy;Könyvmolyképzõ;9789639708952
Bábel;Leiner Laura;1.;2016;ifjusági regény;L&L kiadó;9786155653056
Ház a tó mélyén;Josh Malerman;1.;2017;misztikus thriller;Fumax kiadó;9789634700098
Újhold;Stephenie Meyer;1.;2009;fantasy;Könyvmolyképzõ;9789632451558
AZ;Stephen King;1.;1986;horror-regény;Európa kiadó;9789630784924
Az autóversenyzés története;David Burgess-Wise;1.;2001;Mûszaki, autó;2001;963-9090-59-X;Könyvmolyképzõ
Száguldó cirkusz 2007-2008;Simon István;1.;2007;Mûszaki, autó, sport;2007;;Könyvmolyképzõ
A díjugrató lovas kiképzése;Zupán Péter;1.;2020;Sport;2020;978-963-291-440-4;Bioenergetic Kiadó
Kisasszonyok;Louisa May Alcott;1.;2022;Komédia;2022;9789632675572;Könyvmolyképzõ
A kis herceg;Antoine de Saint-Exupéry;1.;1943;Fantasy;1943;9786156196057;Móra
Elszakítva;Amira Stone;1.kiadás;2021;Fantasy,fiatal felnõtt;9789635613977;Könyvmolyképzõ
Hat varjú;Leigh Bardugo;1.kiadás;2021;Fantasy,kitagadottak,fiatal felnõtt;9789635616763;Könyvmolyképzõ
Bizalom;Kyle Scott;2.kiadás;2020;Dráma,szórakoztató;9789635613502;Könyvmolyképzõ