cím;szerzõk;kiadás;kiadás dátuma;témák;isbn;Kiadó

VUK;Fekete István;1.;1965;regény,állat;ifjúság;9789634867760;Móra Könyvkiadó
Harry Potter és a Titkok Kamrája;Janne Kathleen Rowling;1.;1998;Fantasy;9789636141479;Anonimus könyvek
Egy ropi naplója-A nagy kiruccanás;Jeff Kinney;9.;2014;Fikciós napló;9789633993507;Könyvmolyképzõ kiadó
Geronimo Stilton-Az eltûnt kincs rejtélye;Geronimo Stilton Könyvek;8.;2017;Fikciós napló;9789633693629;Alexandra kiadó
Percy Jackson-A szörnyek tengere;Rick Riordan;3.;2006;Görög Mitológia, Fantasy irodalom;9789633998489;Könyvképzõ Kiadó KFT.
Akkor szakítsunk;Leiner Laura;1.;2014;ifjusági irodalom;9786155653025;L&L kiadó;
Alkonyat;Stephenie Meyer;1.;2005;fantasy;9789639708952 ;Könyvmolyképzõ;
Bábel;Leiner Laura;1.;2016;ifjusági regény;9786155653056;L&L kiadó;
Ház a tó mélyén;Josh Malerman;1.;2017;misztikus thriller;9789634700098;Fumax kiadó
Újhold;Stephenie Meyer;1.;2009;fantasy;9789632451558;Könyvmolyképzõ
AZ;Stephen King;1.;1986;horror-regény;9789630784924;Európa kiadó
Az autóversenyzés története;David Burgess-Wise;1.;2001;Mûszaki,autó;963909059X;Könyvmolyképzõ
Száguldó cirkusz 2007-2008;Simon István;1.;2007;Mûszaki autó sport;2007;Könyvmolyképzõ
A díjugrató lovas kiképzése;Zupán Péter;1.;2020;Sport;9789632914404;Bioenergetic Kiadó
Kisasszonyok;Louisa May Alcott;1.;2022;Komédia;9789632675572;Könyvmolyképzõ
A kis herceg;Antoine de Saint-Exupéry;1.;1943;Fantasy;9786156196057;Móra
Elszakítva;Amira Stone;1.kiadás;2021;Fantasy,fiatal felnõtt;9789635613977;Könyvmolyképzõ
Hat varjú;Leigh Bardugo;1.kiadás;2021;Fantasy,kitagadottak,fiatal felnõtt;9789635616763;Könyvmolyképzõ
Bizalom;Kyle Scott;2.kiadás;2020;Dráma,szórakoztató;9789635613502;Könyvmolyképzõ
Lada Dracul-egy sötét lélek;Kiersten White;2.Kiadás;2020;fantasy,vámpírok,történelmi;9789634576990;Könyvmolyképzõ
A hajnal tornya;Sarah J. Maas;3.kiadás;2018;fantasy,ifjúsági;9789634575214;Könyvmolyképzõ
Csontbrigád;Rejtõ Jenõ;4;1967;bûnügyi regény,nyomozás;9632719344;Albatrosz Könyvek
Az elveszett cirkáló;Rejtõ Jenõ;2;1966;kalandregény,ifjúsági;963270088;Albatrosz Könyvek
Robinson;Daniel Defoe;1;1961;kalandregény;9789636451127;Móra
Huckleberry Finn;Mark Twain;1;1964;regény;0;Móra
Dal a tûzpiros virágról;Linnankoski;1;1957;szerelmes regény;0,963073983;Európa
Gazdagabb,bölcsebb;William Green;befektetés,pénzugy;2022;2022;9786156088031;A4C Books
Profit vagy az élmény;Pataki Gábor;kriptovaluta,profit;2022;2022;9786150143989;Ambienta Kft.
Babilon leggazdagabb embere;George S.Clason;igéretek,jövõ;2021;2021;9786155030956;Bagolyvár trade KFT
Mesék a pénzrõl;Csóka Judit;pénz;2019;2019;9789631366082;Corvina kiadó KFT
VUK;Fekete István;1965;állatok,ifjúság;9789635449071;MÓRA KÖNYVKIADÓ
A leszarom a rafinált mûvészete;mark manson;2022;filozófia;9789634995944;MAXIM KÖNYVKIADÓ KFT.
lopott szerencse;riley baker;2022;akció;9786158194204;MAGÁNKIADÁS
a vad;ruth cardello;2022;akc9786158194204;Kossuth Kiadó Zrt.
légszomj;roboz gábor;2021;horror;9789635661282;GABO KÖNYVKIADÓ ÉS KERESK.KFT.
Csontbrigád;Rejtõ Jenõ;4;1967;bûnügyi regény,nyomozás;9632719344;Albatrosz Könyvek
Az elveszett cirkáló;Rejtõ Jenõ;2;1966;kalandregény,ifjúsági;963270088;Albatrosz Könyvek
Robinson;Daniel Defoe;1;1961;kalandregény;2859101268;Móra
Huckleberry Finn;Mark Twain;1;1964;regény;0679422544;Móra
Dal a tûzpiros virágról;Linnankoski;1;1957;szerelmes regény;963073983;Európa
A három testőr Afrikában;Rejtő Jenő;1.kiadás;2022;Képregény,vegyes;9789639833838;Képes kiadó
Az alvilág - Hádész birodalmában;Clotilde Bruneau, Luc Ferry;1.kiadás;2022;Képregény,vegyes;9789635051014;Lingea Kft.
The Witcher - Vaják: Egy csepp igazság;Jacek Rembis,Andrzej Sapkowski;1.kiadás;2022;Képregény,vegyes;9789634977094;Szukits könyvkiadó és könyvker
X-men - Mutánsok genezise;Chris Claremont;1.kiadás;2022;Képregény,vegyes;9789634702436;Fumax Kft.
Gyógyítók - Oratórium-dráma a tudósok küzdelméről;Fazekas István;2023;tudomány és természet;978616E+12;NAPKÚT KIADÓ KFT	
A halhatatlan medúza - A természet titkai, avagy hogyan éljünk akár száz évig;Nicklas Brendborg;2023;tudomány és természet;978964E+12;Athenaeum Kiadó Kft.	
A világ története 500 vasútvonal mentén;Sarah Baxter;2022;tudomány és természet;978963E+12;Kossuth Kiadó Zrt.
Az idő rendje;Carlo Rovelli;2022;tudomány és természet;;9,78963E+12;Park könyvkiadó
A víz értéke;Matt Damon - Gary White;2022;tudomány és természet;978963E+12;Corvina kiadó
Gazdagabb,bölcsebb;William Green;2022;befektetés,pénzugy;2022;9786156088031;A4C Books
Profit vagy az élmény;Pataki Gábor;2022;kriptovaluta,profit;9786150143989;Ambienta Kft.
Babilon leggazdagabb embere;;;George S.Clason;;;igéretek,jövő;;;2021;;;;2021;;;Bagolyvár trade KFT;;;9786155030956
Mesék a pénzről;Csóka Judit;2019;pénz;Corvina kiadó KFT;9789631366082
A takarékos milliomos képző;Szakonyi Krisztina;2021;fejlődés,gazdagság;9786150121970;Magánkiadás
Gondolkodj és gazdagodj;Napoleon Hill;2022;Művelt nép;978616E+12;MAGÁNKIADÓ
365 nap 3. - Még 365 nap;Blanka Lipinska;2021;3;Romantikus és erotika, regény;978616E+12;MŰVELT NÉP KÖNYVKIADÓ
Bitcoin Standard - A központi bankok decentralizált alternatívája;Saifedean Ammous;2022;1;Pénz, gazdaság, üzleti élet;978964E+12;SCOLAR KIADÓ KFT.
A kis- és középvállalkozások innovációja - Elmélet és gyakorlat;Illyés Péter - Stukovszky Tamás;2022;1;Pénz, gazdaság, üzleti élet;978963E+12;Akadémiai Kiadó Zrt.
Hogyan váljunk vezérigazgatóvá? - 77 szabály, ahhoz, hogy bármely vállalkozás élére juthass;Jeffrey J. Fox;1;2022;Pénz, gazdaság, üzleti élet;978616E+12;ALPHAPRESS KFT.
Gazdagabb, bölcsebb, boldogabb - Hogyan nyernek a világ legjobb befektetői a piacokon és az életben;William Green;1;2022;Pénz, gazdaság, üzleti élet;9,78616E+12;A4C Books