c¡m;	szerz‹k;	kiad s;	kiad s d tuma;	t‚m k;	isbn;	kiad¢;
VUK;	Fekete Istv n;	1.;	1965;	reg‚ny, llat, ifj£s g;	9789634867760;	M¢ra K”nyvkiad¢
Harry Potter ‚s a Titkok Kamr ja;	Janne Kathleen Rowling;	1.;	1998;	Fantasy;	9789636141479;	Anonimus k”nyvek
Egy ropi napl¢ja-A nagy kiruccan s;	Jeff Kinney;	9.;	2014;	Fikci¢s napl¢;	9789633993507;	K”nyvmolyk‚pz? kiad¢
Geronimo Stilton-Az elt?nt kincs rejt‚lye;	Geronimo Stilton K”nyvek;	8.;	2017;	Fikci¢s napl¢;	9789633693629;	Alexandra kiad¢
Percy Jackson-A sz”rnyek tengere;	rick Riordan;	3.;	2006;	G”r”g Mitol¢gia, Fantasy irodalom;	9789633998489;	K”nyvk‚pz? Kiad¢ KFT.
Akkor szak¡tsunk;	Leiner Laura;	1.;	2014;	ifjus gi irodalom;	9786155653025;	L&L kiad¢
Alkonyat;	Stephenie Meyer;	1.;	2005;	fantasy;	9789639708952;	K”nyvmolyk‚pz?
B bel;	Leiner Laura;	1.;	2016;	ifjus gi reg‚ny;	9786155653056;	L&L kiad¢
H z a t¢ m‚ly‚n;	Josh Malerman;	1.;	2017;	misztikus thriller;	9789634700098;	Fumax kiad¢
éjhold;	Stephenie Meyer;	1.;	2009;	fantasy;	9789632451558;	K”nyvmolyk‚pz?
AZ	Stephen King;	1.;	1986;	horror-reg‚ny;	9789630784924;	Eur¢pa kiad¢
Az aut¢versenyz‚s t”rt‚nete;	David Burgess-Wise;	1.;	2001;	M?szaki, aut¢;	963909059;	K”nyvmolyk‚pz?
Sz guld¢ cirkusz 2007-2008;	Simon Istv n;	1.;	2007;	M?szaki, aut¢, sport;	94456438456311;	K”nyvmolyk‚pz?
A d¡jugrat¢ lovas kik‚pz‚se;	Zup n P‚ter;	1.;	2020;	Sport;	9789632914404;	Bioenergetic Kiad¢
A kis herceg;	Antoine de Saint-Exup‚ry;	1.;	1943;	Fantasy;	9786156196057;	M¢ra
Elszak¡tva;	Amira Stone;	1.;	2021;	Fantasy,fiatal feln?tt;	9789635613977;	K”nyvmolyk‚pz?
Hat varj£;	Leigh Bardugo;	1.;	2021;	Fantasy,kitagadottak,fiatal feln?tt;	9789635616763;	K”nyvmolyk‚pz?
Bizalom;	Kyle Scott;	2.;	2020;	Dr ma,sz¢rakoztat¢;	9789635613502;	K”nyvmolyk‚pz?
Lada Dracul-egy s”t‚t l‚lek;	Kiersten White;	2.;	2020;	fantasy,v mp¡rok,t”rt‚nelmi;	9789634576990;	K”nyvmolyk‚pz?
A hajnal tornya;	Sarah J. Maas;	3.;	2018;	fantasy,ifj£s gi;	9789634575214;	K”nyvmolyk‚pz?
Csontbrig d;	Rejt? Jen?;	4.;	1967;	b?ngyi reg‚ny,nyomoz s;	9632719344;	Albatrosz K”nyvek
Az elveszett cirk l¢;	Rejt? Jen?;	2.;	1966;	kalandreg‚ny,ifj£s gi;	963270088;	Albatrosz K”nyvek
Robinson;	Daniel Defoe;	1.;	1961;	kalandreg‚ny;	0;	M¢ra
Huckleberry Finn;	Mark Twain;	1.;	1964;	reg‚ny;	0;	M¢ra
Dal a t?zpiros vir gr¢l;	Linnankoski;	1.;	1957;	reg‚ny;	0963073983;	Eur¢pa
Gazdagabb,b”lcsebb;	William Green;	1.;	2022;	befektet‚s,p‚nzugy;	9786156088031;	A4C Books
Profit vagy az ‚lm‚ny;	Pataki G bor;	1.;	2022;	kriptovaluta,profit;	9786150143989;	Ambienta Kft.
Babilon leggazdagabb embere;	George S.Clason;	1.;	2021;	ig‚retek,j”v?;	9786155030956;	Bagolyv r trade KFT;
 